SR,Drug Registration Number,Medicine Name,Strength,Unit of strength,Pharmaceutical form,Pack size,Active substance 1,Active substance 2,Active substance 3,Active substance 4,Retail Price,MAH name
1,DRN-232/92,Vitamin A (Arnet),10000,IU,Capsules,100' ,Vit A,,,,0.890,"Arnet Pharmaceutical Corp, USA."
2,DRN-8497/15,Vitamin A+D (Arnet),,,Tablets,100' ,Vit A 10000IU,Vit D 400mg,,,0.960,"Arnet Pharmaceutical Corp, USA."
3,DRN-8496/15,Therra-Vite,,,Tablets,100' ,Ascorbic Acid 200mg,Cholecalciferol 400IU,Copper Sulfate 2mg,Cyanocobalamin 5mcg,2.010,"Arnet Pharmaceutical Corp, USA."
4,DRN-262/93,Iodine Tincture,,,Topical Solution,25ml,Iodine,Potassium Iodide,,,0.320,"LCM Limited, UK."
5,DRN-8385/14,Surgical Spirit,,,Topical Solution,200ml,Methyl Salicylate,Virgin Castor Oil,,,0.620,"LCM Limited, UK."
6,DRN-8384/14,Liquid Paraffin,100,% v/v,Liquid,150ml,Paraffin Liquid,,,,0.530,"LCM Limited, UK."
7,DRN-277/93,Eucalyptus Oil,,,Oil,25ml,Eucalyptus Oil,,,,0.580,"LCM Limited, UK."
8,DRN-286/93,Calamine Lotion ,,,Lotion,100ml,Calamine,Zinc Oxide,,,0.280,"LCM Limited, UK."
9,BLR-322/93,Dr. Wong Sulphur,,,Soap,95g,Sulfur,,,,0.490,"International Pharmaceuticals Inc, Philippines."
10,DRN-8306/13,Trajenta,5,mg,Film Coated Tablets,30' s,Linagliptin,,,,12.170,"Boehringer Ingelheim International GmbH, Germany."
11,DRN- 8325/13,Jevtana,60,mg /1.5mL,Concentrate and Solvent for Solution for Infusion,1 vial,Cabazitaxel,,,,2596.470,"Sanofi-Aventis Groupe, France."
12,DRN-0001/87,Renitec,5,mg,Tablets,28' ,Enalapril Maleate,,,,4.850,"Merck Sharp & Dohme BV, The Netherlands."
13,DRN-0002/87,Renitec,10,mg,Tablets,28' ,Enalapril Maleate,,,,6.240,"Merck Sharp & Dohme BV, The Netherlands."
14,DRN-0003/87,Renitec,20,mg,Tablets,14' ,Enalapril Maleate,,,,4.150,"Merck Sharp & Dohme BV, The Netherlands."
15,DRN-0004/87,Renitec,20,mg,Tablets,28' ,Enalapril Maleate,,,,8.080,"Merck Sharp & Dohme BV, The Netherlands."
16,DRN-0012/88,Actilyse,50,mg,Powder & Solvent for Solution for Injection,2 sets (2 vials inj.+2 vials water for inj.),Plasminogen Activator,,,,583.460,"Boehringer Ingelheim International GmbH, Germany."
17,DRN-0019/88,Regaine,2,%,Topical Solution,60ml,Minoxidil,,,,8.540,"McNeil Products Limited, UK."
18,DRN-0053/89,Tramal,100,mg,Solution for Injection,5 Ampoules 2ml each,Tramadol HCl,,,,3.140,"Stada Arzneimittel AG, Germany."
19,DRN-0054/89,Tramal,50,mg,Capsules,10' ,Tramadol HCl,,,,1.510,"Stada Arzneimittel AG, Germany."
20,DRN-0058/89,Roaccutane,20,mg,Capsules,30' ,Isotretinoin,,,,13.480,"F. Hoffmann La Roche Ltd, Switzerland."
21,DRN-0067/89,Tienam,500,mg,Powder For Injection,20ml Vial,Imipenem Monohydrate,Cilastatin Sodium,,,6.800,"Merck Sharp & Dohme BV, The Netherlands."
22,DRN-0068/89,Anexate,0.5,mg/5mL,Injectable Solution,5 amp x 5ml,Flumazenil,,,,35.140,"F. Hoffmann La Roche Ltd, Switzerland."
23,DRN-0069/89,Anexate,1,mg,Injectable Solution,5 amp x 10ml,Flumazenil,,,,107.050,"F. Hoffmann La Roche Ltd, Switzerland."
24,DRN-0074/89,Claforan,0.5,g,Powder For Injection,1 Vial + 1 Ampoule,Cefotaxime Sodium,,,,1.780,"Sanofi Saglık runleri Ltd. Sti., Turkey."
25,DRN-0084/89,Dormicum,15,mg,Film Coated Tablets,10' ,Midazolam Maleate,,,,1.990,"F. Hoffmann La Roche Ltd, Switzerland."
26,DRN-0085/89,Dormicum,5,mg/mL,SOLUTION FOR INJECTION,10 x 1 ml Ampoule ,Midazolam,,,,4.260,"F. Hoffmann La Roche Ltd, Switzerland."
27,DRN-0087/89,Retrovir,100,mg,Capsules,100' HDPE Bottle,Zidovudine,,,,76.060,"S.C. Europharma SA, Romania."
28,DRN-0099/89,Canesten,0.5,g,Vaginal Tablets,1' ,Clotrimazole,,,,1.770,"Bayer Consumer Care AG, Switzerland."
29,DRN-0164/90,Zocor,10,mg,Tablets,10' ,Simvastatin,,,,2.710,"Merck Sharp & Dohme BV, The Netherlands."
30,DRN-0165/90,Zocor,10,mg,Tablets,30' ,Simvastatin,,,,8.120,"Merck Sharp & Dohme BV, The Netherlands."
31,DRN-0233/90,Tryptizol,25,mg,Tablets,30' ,Amitriptyline HCl,,,,0.940,"Algorithm SAL, Lebanon."
32,DRN-0273/90,Provera,5,mg,Tablets,24' ,Medroxyprogesterone Acetate ,,,,1.080,"PFIZER ITALIA SRL, ITALY."
33,DRN-0288/90,Syntocinon,5,IU/mL,Solution For Injection,5 Ampoules x 1 M,Oxytocin,,,,1.470,"Novartis Pharma AG, Switzerland."
34,DRN-0291/90,Methergin,0.2,mg/mL,Solution For Injection,5 x 1 ml Ampoules,Methylergometrine Maleate,,,,1.340,"Novartis Pharma AG, Switzerland."
35,DRN-0297/90,Pregnyl,1500,IU,Powder For Injection,3 + 3 Ampoules,Chorionic Gonadotropin,,,,3.790,"N.V. Organon, The Netherlands."
36,DRN-0319/90,Duphaston,10,mg,Tablets,20' ,Dydrogesterone,,,,5.200,"Abbott HealthCare Products BV, The Netherlands."
37,DRN-0320/90,Xanax,0.25,mg,Tablets,10' ,Alprazolam ,,,,0.520,"Pfizer Italia Srl, Italy."
38,DRN-0321/90,Xanax,0.25,mg,Tablets,30' ,Alprazolam ,,,,1.270,"Pfizer Italia Srl, Italy."
39,DRN-0322/90,Xanax,0.25,mg,Tablets,100' ,Alprazolam ,,,,2.920,"Pfizer Italia Srl, Italy."
40,DRN-0323/90,Xanax,0.5,mg,Tablets,10' ,Alprazolam ,,,,0.880,"Pfizer Italia Srl, Italy."
41,DRN-0324/90,Xanax,0.5,mg,Tablets,30' ,Alprazolam ,,,,1.500,"Pfizer Italia Srl, Italy."
42,DRN-0325/90,Xanax,0.5,mg,Tablets,100' ,Alprazolam ,,,,4.940,"Pfizer Italia Srl, Italy."
43,DRN-0334/90,Vibrocil,,,Gel,12g,Dimethindene Maleate,Phenylephrine HCl,,,1.120,"Novartis Consumer Health SA, Switzerland."
44,DRN-0335/90,Vibrocil,,,Nasal Drops,15ml,Dimethindene Maleate,Phenylephrine HCl,,,1.120,"Novartis Consumer Health SA, Switzerland."
45,DRN-0337/90,Vibrocil,,,Microdoser ,15ml,Dimethindene Maleate,Neomycin Sulfate,Phenylephrine HCl,,1.680,"Novartis Consumer Health SA, Switzerland."
46,DRN-0405/90,Voltaren,75,mg/3mL,Solution for Injection,5 Ampoules,Diclofenac Sodium,,,,4.310,"Novartis Pharma AG, Switzerland."
47,DRN-0407/90,Voltaren,25,mg,Entric Coated Tablets,30' ,Diclofenac Sodium,,,,2.530,"Novartis Pharma AG, Switzerland."
48,DRN-0423/90,Disflatyl,40,mg,Chewable Tablets,30' ,Simethicone,,,,1.140,"MEDA Pharmaceuticals Switzerland GmbH, Switzerland."
49,DRN-0437/90,Dolgit,5,%,Cream,50g,Ibuprofen,,,,1.780,"Dolorgiet GmbH & Co. KG, Germany."
50,DRN-0466/91,Flamazine,1,%,Cream,50g,Silver Sulfadiazine,,,,1.370,"Smith & Nephew Pharmaceutical Ltd, UK."
51,DRN-0467/91,Flamazine,1,% w/w,Cream,500g,Silver Sulfadiazine,,,,4.970,"Smith & Nephew Pharmaceutical Ltd, UK."
52,DRN-0507/91,Indocid,100,mg,Suppositories,10' ,Indomethacin,,,,1.100,"Algorithm SAL, Lebanon."
53,DRN-0516/91,Dolgit,200,mg,Tablets,20' ,Ibuprofen,,,,0.450,"Dolorgiet GmbH & Co. KG, Germany."
54,DRN-0519/91,Enelfa,500,mg,Tablets,20' ,Paracetamol,,,,0.470,"Dolorgiet GmbH & Co. KG, Germany."
